loss,accuracy,val_loss,val_accuracy
3.289214611053467,0.6972644329071045,2.3102269172668457,0.7346386313438416
2.4446775913238525,0.7042726278305054,1.405725121498108,0.7091674208641052
1.7449091672897339,0.6927722096443176,1.060481071472168,0.6676669716835022
1.3088600635528564,0.6796157360076904,0.7712501883506775,0.684135377407074
1.0549894571304321,0.6752150058746338,0.7844618558883667,0.6833668947219849
0.9306648373603821,0.6852698922157288,0.7303441166877747,0.679048478603363
0.8392874598503113,0.6978042125701904,0.6487617492675781,0.7385910153388977
0.7592606544494629,0.705333948135376,0.6337777376174927,0.7396523356437683
0.6951857209205627,0.7187374234199524,0.6095786690711975,0.7562671303749084
0.6474371552467346,0.7336047291755676,0.5858454704284668,0.7662945985794067
0.6370240449905396,0.741710901260376,0.5841255187988281,0.7687831521034241
0.6096037030220032,0.7483989000320435,0.5695180892944336,0.7733211517333984
0.6034626364707947,0.7511162161827087,0.5501564741134644,0.7710155248641968
0.5887429118156433,0.7524062395095825,0.5534653663635254,0.7708325982093811
0.5838106274604797,0.7533760070800781,0.551218569278717,0.770393431186676
0.5718070268630981,0.7558737397193909,0.5433400869369507,0.7752607464790344
0.5688905119895935,0.7586367726325989,0.548146665096283,0.774272620677948
0.5689491033554077,0.7592131495475769,0.5394370555877686,0.7739067077636719
0.556194007396698,0.7606953382492065,0.5343972444534302,0.7755901217460632
0.5579573512077332,0.7604848742485046,0.5332026481628418,0.7758463025093079
0.5501537322998047,0.7631472945213318,0.5321758985519409,0.7751509547233582
0.5512841939926147,0.7624245285987854,0.5269687175750732,0.7743824124336243
0.5448448061943054,0.7637236714363098,0.5219572186470032,0.7756633162498474
0.5368289947509766,0.7657914161682129,0.5154548287391663,0.776322066783905
0.537952184677124,0.7650960683822632,0.520915150642395,0.7762854695320129
0.5424929261207581,0.7656267285346985,0.5268816947937012,0.776724636554718
0.5374731421470642,0.7674016356468201,0.5230475068092346,0.7755535244941711
0.5365367531776428,0.7652515769004822,0.5261977910995483,0.7784080505371094
0.5417585372924805,0.7674199342727661,0.5341159701347351,0.7772369384765625
0.5333794951438904,0.7677767872810364,0.5172066688537598,0.7755535244941711
0.526147186756134,0.7675297260284424,0.5026578307151794,0.7778224945068359
0.5225104093551636,0.7678865790367126,0.5033130645751953,0.7766148447990417
0.5180805921554565,0.7680054903030396,0.5051555633544922,0.7771271467208862
0.5198925137519836,0.7684629559516907,0.5085306167602539,0.7775663137435913
0.5145037770271301,0.7675023078918457,0.4998093247413635,0.7778224945068359
0.5152020454406738,0.7691217064857483,0.5073214173316956,0.777053952217102
0.5184744000434875,0.7697712779045105,0.49778348207473755,0.777456521987915
0.5128787159919739,0.7698078751564026,0.4929219186306,0.776724636554718
0.5070310235023499,0.7687282562255859,0.49180060625076294,0.7761024832725525
0.5123558640480042,0.7687923312187195,0.5014960169792175,0.7762854695320129
0.511405885219574,0.7685269713401794,0.4884083867073059,0.77701735496521
